KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE	NAM;ART;SIZE	HARGA JUAL	HARGA MODAL	QTY	HARGA NET
FOOTWERE	4893980 584655	280647	ADILETTE	10	ADILETTE;280647;10	 Rp 329,000 	  192,465.00 	3	  577,395.00 
FOOTWERE	4893980 584662	280647	ADILETTE	11	ADILETTE;280647;11	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4893980 584716	280648	ADILETTE	7	ADILETTE;280648;7	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE	4893980 584717	280648	ADILETTE	8	ADILETTE;280648;8	 Rp 329,000 	  192,465.00 	2	  384,930.00 
FOOTWERE	4893980 584718	280648	ADILETTE	9	ADILETTE;280648;9	 Rp 329,000 	  192,465.00 	0	  -   
FOOTWERE	4893980 584719	280648	ADILETTE	10	ADILETTE;280648;10	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE	4893980 584720	280648	ADILETTE	11	ADILETTE;280648;11	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE	4893980 584721	280648	ADILETTE	12	ADILETTE;280648;12	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4893980 585003	288022	ADILETTE	9	ADILETTE;288022;9	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE	4893980 585010	288022	ADILETTE	10	ADILETTE;288022;10	 Rp 329,000 	  192,465.00 	4	  769,860.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4893980 584358	288193	ADILETTE	7	ADILETTE;288193;7	 Rp 329,000 	  192,465.00 	0	  -   
FOOTWERE	4893980 584365	288193	ADILETTE	8	ADILETTE;288193;8	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE	4893980 584372	288193	ADILETTE	9	ADILETTE;288193;9	 Rp 329,000 	  192,465.00 	5	  962,325.00 
FOOTWERE	4893980 584389	288193	ADILETTE	10	ADILETTE;288193;10	 Rp 329,000 	  192,465.00 	1	  192,465.00 
FOOTWERE	4893980 584396	288193	ADILETTE	11	ADILETTE;288193;11	 Rp 329,000 	  192,465.00 	4	  769,860.00 
FOOTWERE					;;		  -   		  -   
