KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE		HARGA JUAL	HARGA MODAL	QTY	HARGA NET
HEADWERE	4048188 160341	615190	GUARD STAYS	NS	GUARD STAYS;615190;NS	 Rp 79,000 	  46,215.00 	1	  46,215.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4028460 361796	651879	ANKLE GUARD 	OG	ANKLE GUARD ;651879;OG	 Rp 99,000 	  57,915.00 	14	  810,810.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055338 906728	A 98724	CFC BOTTLE	NS	CFC BOTTLE;A 98724;NS	 Rp 69,000 	  40,365.00 	3	  121,095.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 082873	AA 2286	3S PER AN HC 3P	39 42	3S PER AN HC 3P;AA 2286;39 42	 Rp 159,000 	  93,015.00 	0	  -   
HEADWERE	4055017 082897	AA 2286	3S PER AN HC 3P	43 46	3S PER AN HC 3P;AA 2286;43 46	 Rp 159,000 	  93,015.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 114888	AA2291	3S PER AN HC 1P	35 38	3S PER AN HC 1P;AA2291;35 38	 Rp 59,000 	  34,515.00 	5	  172,575.00 
HEADWERE	4055017 114833	AA2291	3S PER AN HC 1P	39 42	3S PER AN HC 1P;AA2291;39 42	 Rp 59,000 	  34,515.00 	12	  414,180.00 
HEADWERE	4055017 114857	AA2291	3S PER AN HC 1P	43 46	3S PER AN HC 1P;AA2291;43 46	 Rp 59,000 	  34,515.00 	5	  172,575.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 049081	AA 2292	3S PER CR HC 1P	35 38	3S PER CR HC 1P;AA 2292;35 38	 Rp 59,000 	  34,515.00 	3	  103,545.00 
HEADWERE	4055017 049098	AA 2292	3S PER CR HC 1P	39 42	3S PER CR HC 1P;AA 2292;39 42	 Rp 59,000 	  34,515.00 	10	  345,150.00 
HEADWERE	4055017 049111	AA 2292	3S PER CR HC 1P	43 46	3S PER CR HC 1P;AA 2292;43 46	 Rp 59,000 	  34,515.00 	5	  172,575.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 316756	AA 2300	3S PER CR HC 1P	35 38	3S PER CR HC 1P;AA 2300;35 38	 Rp 59,000 	  34,515.00 	3	  103,545.00 
HEADWERE	4055017 316732	AA 2300	3S PER CR HC 1P	39 42	3S PER CR HC 1P;AA 2300;39 42	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE	4055017 316725	AA 2300	3S PER CR HC 1P	43 46	3S PER CR HC 1P;AA 2300;43 46	 Rp 59,000 	  34,515.00 	6	  207,090.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 061366	AA 2301	3S PER CR HC 1P	35 38	3S PER CR HC 1P;AA 2301;35 38	 Rp 59,000 	  34,515.00 	3	  103,545.00 
HEADWERE	4055017 061397	AA 2301	3S PER CR HC 1P	39 42	3S PER CR HC 1P;AA 2301;39 42	 Rp 59,000 	  34,515.00 	11	  379,665.00 
HEADWERE	4055017 061410	AA 2301	3S PER CR HC 1P	43 46	3S PER CR HC 1P;AA 2301;43 46	 Rp 59,000 	  34,515.00 	7	  241,605.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 105329	AA 2311	PER NO-SH T 3PP	35 38	PER NO-SH T 3PP;AA 2311;35 38	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE	4055017 105336	AA 2311	PER NO-SH T 3PP	39 42	PER NO-SH T 3PP;AA 2311;39 42	 Rp 129,000 	  75,465.00 	15	  1,131,975.00 
HEADWERE	4055017 105251	AA 2311	PER NO-SH T 3PP	43 46	PER NO-SH T 3PP;AA 2311;43 46	 Rp 129,000 	  75,465.00 	10	  754,650.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 082811	AA 2314	PER NO-SH T 1PP	35 38	PER NO-SH T 1PP;AA 2314;35 38	 Rp 59,000 	  34,515.00 	5	  172,575.00 
HEADWERE	4055017 082736	AA 2314	PER NO-SH T 1PP	39 42	PER NO-SH T 1PP;AA 2314;39 42	 Rp 59,000 	  34,515.00 	15	  517,725.00 
HEADWERE	4055017 082774	AA 2314	PER NO-SH T 1PP	43 46	PER NO-SH T 1PP;AA 2314;43 46	 Rp 59,000 	  34,515.00 	10	  345,150.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 303480	AA 2315	PER NO-SH T 1PP	35 38	PER NO-SH T 1PP;AA 2315;35 38	 Rp 59,000 	  34,515.00 	5	  172,575.00 
HEADWERE	4055017 303442	AA 2315	PER NO-SH T 1PP	39 42	PER NO-SH T 1PP;AA 2315;39 42	 Rp 59,000 	  34,515.00 	14	  483,210.00 
HEADWERE	4055017 303428	AA 2315	PER NO-SH T 1PP	43 46	PER NO-SH T 1PP;AA 2315;43 46	 Rp 59,000 	  34,515.00 	8	  276,120.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 309895	AA 2316	PER NO-SH T 1PP	39 42	PER NO-SH T 1PP;AA 2316;39 42	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE	4055017 311744	AA 2316	PER NO-SH T 1PP	43 46	PER NO-SH T 1PP;AA 2316;43 46	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 115649	AA 2322	PER ANKLE T 3PP	39 42	PER ANKLE T 3PP;AA 2322;39 42	 Rp 129,000 	  75,465.00 	9	  679,185.00 
HEADWERE	4055017 115625	AA 2322	PER ANKLE T 3PP	43 46	PER ANKLE T 3PP;AA 2322;43 46	 Rp 129,000 	  75,465.00 	9	  679,185.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 061175	AA 2323	PER ANKLE T 1PP	39 42	PER ANKLE T 1PP;AA 2323;39 42	 Rp 59,000 	  34,515.00 	10	  345,150.00 
HEADWERE	4055017 061151	AA 2323	PER ANKLE T 1PP	43 46	PER ANKLE T 1PP;AA 2323;43 46	 Rp 59,000 	  34,515.00 	8	  276,120.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 065418	AA2324	PER ANKLE T 1PP	39 42	PER ANKLE T 1PP;AA2324;39 42	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE	4055017 065470	AA2324	PER ANKLE T 1PP	43 46	PER ANKLE T 1PP;AA2324;43 46	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 087540	AA 2325	PER ANKLE T 1PP	39 42	PER ANKLE T 1PP;AA 2325;39 42	 Rp 59,000 	  34,515.00 	6	  207,090.00 
HEADWERE	4055017 086673	AA 2325	PER ANKLE T 1PP	43 46	PER ANKLE T 1PP;AA 2325;43 46	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055017 066071	AA2332	PER CREW T 1PP	39 42	PER CREW T 1PP;AA2332;39 42	 Rp 59,000 	  34,515.00 	11	  379,665.00 
HEADWERE	4055017 066040	AA 2332	PER CREW T 1PP	43 46	PER CREW T 1PP;AA 2332;43 46	 Rp 59,000 	  34,515.00 	9	  310,635.00 
HEADWERE					;;		  -   		  -   
